state,2017_participation_rate,2017_ebrw,2017_math,2017_total,2018_participation_rate,2018_ebrw,2018_math,2018_total,2019_participation_rate,2019_ebrw,2019_math,2019_total,2013-2017_hs_graduate,2013-2017_bachelors_graduate,2013-2017_advanced_degree_graduate
Alabama,0.05,593,572,1165,0.06,595,571,1166,0.07,583,560,1143,0.853,0.245,0.091
Alaska,0.38,547,533,1080,0.43,562,544,1106,0.41,556,541,1097,0.924,0.29,0.10400000000000001
Arizona,0.3,563,553,1116,0.29,577,572,1149,0.31,569,565,1134,0.865,0.284,0.107
Arkansas,0.03,614,594,1208,0.05,592,576,1169,0.06,582,559,1141,0.856,0.22,0.079
California,0.53,531,524,1055,0.6,540,536,1076,0.63,534,531,1065,0.825,0.326,0.122
Colorado,0.11,606,595,1201,1.0,519,506,1025,1.0,518,506,1024,0.9109999999999999,0.39399999999999996,0.146
Connecticut,1.0,530,512,1041,1.0,535,519,1053,1.0,529,516,1046,0.902,0.384,0.17
Delaware,1.0,503,492,996,1.0,505,492,998,1.0,499,486,985,0.893,0.31,0.129
District of Columbia,1.0,482,468,950,0.92,497,480,977,0.94,495,480,975,0.903,0.5660000000000001,0.32799999999999996
Florida,0.83,520,497,1017,0.56,550,549,1099,1.0,516,483,999,0.8759999999999999,0.285,0.10300000000000001
Georgia,0.61,535,515,1050,0.7,542,522,1064,0.71,538,519,1058,0.863,0.299,0.114
Hawaii,0.55,544,541,1085,0.56,480,530,1010,0.54,550,550,1100,0.9159999999999999,0.32,0.10800000000000001
Idaho,0.93,513,493,1005,1.0,508,493,1001,1.0,505,488,993,0.902,0.268,0.085
Illinois,0.09,559,556,1115,0.99,513,506,1019,1.0,509,504,1013,0.8859999999999999,0.33399999999999996,0.13
Indiana,0.63,542,532,1074,0.63,542,532,1074,0.66,543,537,1080,0.883,0.253,0.092
Iowa,0.02,641,635,1275,0.03,634,631,1265,0.03,622,622,1244,0.9179999999999999,0.27699999999999997,0.09
Kansas,0.04,632,628,1260,0.04,633,631,1265,0.04,618,623,1241,0.905,0.32299999999999995,0.11699999999999999
Kentucky,0.04,631,616,1247,0.04,630,618,1248,0.04,620,612,1232,0.852,0.23199999999999998,0.096
