,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2017_participation_rate,0.05,0.38,0.3,0.03,0.53,0.11,1.0,1.0,1.0,0.83,0.61,0.55,0.93,0.09,0.63,0.02,0.04,0.04,0.04,0.95,0.69,0.76,1.0,0.03,0.02,0.03,0.1,0.03,0.26,0.96,0.7,0.11,0.67,0.49,0.02,0.12,0.07,0.43,0.65,0.71,0.5,0.03,0.05,0.62,0.03,0.6,0.65,0.64,0.14,0.03,0.03
2017_ebrw,593,547,563,614,531,606,530,503,482,520,535,544,513,559,542,641,632,631,611,513,536,555,509,644,634,640,605,629,563,532,530,577,528,546,635,578,530,560,540,539,543,612,623,513,624,562,561,541,558,642,626
2017_math,572,533,553,594,524,595,512,492,468,497,515,541,493,556,532,635,628,616,586,499,52,551,495,651,607,631,591,625,553,520,526,561,523,535,621,570,517,548,531,524,521,603,604,507,614,551,541,534,528,649,604
2017_total,1165,1080,1116,1208,1055,1201,1041,996,950,1017,1050,1085,1005,1115,1074,1275,1260,1247,1198,1012,1060,1107,1005,1295,1242,1271,1196,1253,1116,1052,1056,1138,1052,1081,1256,1149,1047,1108,1071,1062,1064,1216,1228,1020,1238,1114,1102,1075,1086,1291,1230
2018_participation_rate,0.06,0.43,0.29,0.05,0.6,1.0,1.0,1.0,0.92,0.56,0.7,0.56,1.0,0.99,0.63,0.03,0.04,0.04,0.04,0.99,0.76,0.8,1.0,0.04,0.03,0.04,0.1,0.03,0.23,0.96,0.82,0.16,0.79,0.52,0.02,0.18,0.08,0.48,0.7,0.97,0.55,0.03,0.06,0.66,0.04,0.64,0.68,0.69,0.28,0.03,0.03
2018_ebrw,595,562,577,592,540,519,535,505,497,550,542,480,508,513,542,634,633,630,615,512,545,562,511,643,630,633,606,629,574,535,547,552,534,554,640,552,541,564,547,513,547,622,624,520,480,565,567,543,513,641,633
2018_math,571,544,572,576,536,506,519,492,480,549,522,530,493,506,532,631,631,618,595,501,535,563,499,655,606,629,592,623,566,528,547,540,534,543,643,547,521,553,539,505,523,618,607,512,530,554,550,538,486,653,625
2018_total,1166,1106,1149,1169,1076,1025,1053,998,977,1099,1064,1010,1001,1019,1074,1265,1265,1248,1210,1013,1080,1125,1011,1298,1236,1262,1198,1252,1140,1063,1094,1093,1068,1098,1283,1099,1062,1117,1086,1018,1070,1240,1231,1032,1010,1120,1117,1081,999,1294,1257
2019_participation_rate,0.07,0.41,0.31,0.06,0.63,1.0,1.0,1.0,0.94,1.0,0.71,0.54,1.0,1.0,0.66,0.03,0.04,0.04,0.05,0.99,0.82,0.81,1.0,0.04,0.03,0.04,0.09,0.03,0.2,0.95,0.82,0.18,0.79,0.51,0.02,0.19,0.22,0.51,0.7,1.0,0.68,0.03,0.07,0.68,0.04,0.66,0.68,0.7,0.99,0.03,0.03
2019_ebrw,583,556,569,582,534,518,529,499,495,516,538,550,505,509,543,622,618,620,610,512,535,559,507,636,628,622,603,628,580,533,544,543,531,554,627,550,490,562,545,503,526,633,618,515,614,560,567,539,483,635,623
2019_math,560,541,565,559,531,506,516,486,480,483,519,550,488,504,537,622,623,612,591,502,523,561,496,648,608,615,596,631,576,526,545,530,533,546,636,548,472,550,537,492,504,635,602,507,615,546,551,535,460,648,615
2019_total,1143,1097,1134,1141,1065,1024,1046,985,975,999,1058,1100,993,1013,1080,1244,1241,1232,1200,1013,1058,1120,1003,1284,1237,1236,1199,1260,1156,1059,1090,1073,1064,1100,1263,1097,963,1112,1082,995,1030,1268,1220,1022,1230,1106,1119,1074,943,1283,1238
2013-2017_hs_graduate,0.853,0.924,0.865,0.856,0.825,0.9109999999999999,0.902,0.893,0.903,0.8759999999999999,0.863,0.9159999999999999,0.902,0.8859999999999999,0.883,0.9179999999999999,0.905,0.852,0.843,0.9209999999999999,0.898,0.903,0.902,0.9279999999999999,0.8340000000000001,0.892,0.93,0.909,0.858,0.9279999999999999,0.892,0.85,0.861,0.8690000000000001,0.9229999999999999,0.898,0.875,0.902,0.899,0.873,0.865,0.914,0.865,0.828,0.9179999999999999,0.9229999999999999,0.89,0.9079999999999999,0.8590000000000001,0.917,0.9279999999999999
high_school_rank,45.0,5.0,39.0,44.0,51.0,14.0,22.0,27.0,18.0,33.0,40.0,12.0,20.0,31.0,32.0,9.0,17.0,46.0,48.0,8.0,25.0,19.0,21.0,3.0,49.0,28.0,1.0,15.0,43.0,2.0,29.0,47.0,41.0,36.0,6.0,26.0,34.0,23.0,24.0,35.0,37.0,13.0,38.0,50.0,10.0,7.0,30.0,16.0,42.0,11.0,4.0
